active_native_radius,active_rank,carrier_id,identity_retained_mass,identity_terminal,identity_transport_residual,persistent_native_radius,persistent_rank,state_index
2.389164060411037e-10,4,annual-sunspots,1.0,False,5.896307453335804e-16,9.999999717180685e-09,4,0
2.378074548757848e-10,4,annual-sunspots,1.0,False,6.52497142746056e-16,1.0000000272292198e-08,4,1
1.8796345394734619e-10,4,mauna-loa-co2,1.0,False,9.088492340097677e-16,9.999999717180685e-09,4,0
1.8882551665258076e-10,4,mauna-loa-co2,0.9999999999999984,False,8.97792399645199e-16,1.0000000050247593e-08,4,1
1.1358252176173769e-10,4,enso-pacific-sst,1.0,False,8.701360977201583e-16,9.999997385712334e-09,4,0
1.1249107799451819e-10,4,enso-pacific-sst,0.9999999999999996,False,8.358136474780227e-16,9.999999717180685e-09,4,1
1.9648123603745184e-10,4,zachary-karate-network,1.0,False,7.885196547673557e-16,9.999999384113778e-09,4,0
2.0109482367948296e-10,4,zachary-karate-network,1.0,False,1.1217859257414608e-15,9.999999384113778e-09,4,1
1.9981786281718895e-10,4,zachary-karate-network,0.9999999999999993,False,1.979674891877818e-15,9.999999384113778e-09,4,2
2.0402730911176506e-10,4,zachary-karate-network,1.0,False,8.420583311284013e-16,9.999999384113778e-09,4,3
2.0628375230281206e-10,4,zachary-karate-network,1.0,False,8.664663448118586e-16,9.999999384113778e-09,4,4
2.0504831464290225e-10,4,zachary-karate-network,1.0,False,1.9340452260999557e-15,9.999999384113778e-09,4,5
2.0527069999590933e-10,4,zachary-karate-network,0.9999999999999999,False,1.2200438939185422e-15,9.999999384113778e-09,4,6
2.052165804901719e-10,4,zachary-karate-network,1.0,False,1.1717158306114313e-15,9.999999384113778e-09,4,7
2.0405877485846473e-10,4,zachary-karate-network,1.0,False,6.17553489290332e-16,9.999999384113778e-09,4,8
2.0781511201954838e-10,4,zachary-karate-network,1.0,False,7.495814823326277e-16,9.999999384113778e-09,4,9
2.063141282057596e-10,4,zachary-karate-network,1.0,False,1.0062605394436259e-15,9.999999384113778e-09,4,10
2.077603567364138e-10,4,zachary-karate-network,1.0,False,1.0357444322547153e-15,9.999999384113778e-09,4,11
2.0735825344917845e-10,4,zachary-karate-network,1.0,False,6.736851600995837e-16,9.999999384113778e-09,4,12
2.0418296252242006e-10,4,zachary-karate-network,0.999999999999999,False,1.1382337926026898e-15,9.999999384113778e-09,4,13
2.0684733608071075e-10,4,zachary-karate-network,1.0,False,1.025696025713342e-15,9.999999384113778e-09,4,14
2.064123685233656e-10,4,zachary-karate-network,1.0,False,7.295233055592651e-16,9.999999384113778e-09,4,15
2.0685645498987748e-10,4,zachary-karate-network,1.0,False,1.5437388157048213e-15,9.999999384113778e-09,4,16
2.0753733710648254e-10,4,zachary-karate-network,0.9999999999999994,False,9.138201741367691e-16,9.999999384113778e-09,4,17
2.0760465235317452e-10,4,zachary-karate-network,1.0,False,1.4139138424357167e-15,9.999999384113778e-09,4,18
2.0691252436131642e-10,4,zachary-karate-network,0.9999999999999991,False,1.4807968471704335e-15,9.999999384113778e-09,4,19
2.0710608847751515e-10,4,zachary-karate-network,1.0,False,7.947104029499111e-16,9.999999384113778e-09,4,20
2.0723514542521176e-10,4,zachary-karate-network,1.0,False,8.257003252767534e-16,9.999999384113778e-09,4,21
2.0683359388464666e-10,4,zachary-karate-network,1.0,False,9.954654629012364e-16,9.999999384113778e-09,4,22
2.031903321805689e-10,4,zachary-karate-network,1.0,False,1.796194297765481e-15,9.999999384113778e-09,4,23
2.0641411648495985e-10,4,zachary-karate-network,0.9999999999999996,False,8.531063799545865e-16,9.999999384113778e-09,4,24
2.0498972245408976e-10,4,zachary-karate-network,0.9999999999999994,False,1.0068238085197918e-15,9.999999384113778e-09,4,25
2.066871316831977e-10,4,zachary-karate-network,1.0,False,8.026943064557009e-16,9.999999384113778e-09,4,26
2.050565700003488e-10,4,zachary-karate-network,1.0,False,1.3706524590708012e-15,9.999999384113778e-09,4,27
2.0655524975872692e-10,4,zachary-karate-network,1.0,False,7.25791368422122e-16,9.999999384113778e-09,4,28
2.0512392340138669e-10,4,zachary-karate-network,1.0,False,1.1140159263615174e-15,9.999999384113778e-09,4,29
2.0546124798314343e-10,4,zachary-karate-network,0.9999999999999982,False,1.1253279334096884e-15,9.999999384113778e-09,4,30
2.031748181099939e-10,4,zachary-karate-network,1.0,False,9.545932030253473e-16,9.999999384113778e-09,4,31
1.9807435266992197e-10,4,zachary-karate-network,1.0,False,9.515290781049152e-16,9.999999384113778e-09,4,32
1.943728207024502e-10,4,zachary-karate-network,0.9999999999999997,False,7.419593285893398e-16,9.999999384113778e-09,4,33
