active_rank,carrier_id,eligible,exact_ground_gap,exact_lowest_eigenvalue,exact_negative,exact_simple,generalized_ground_gap,generalized_lowest_eigenvalue,generalized_match_residual,ground_witness_negative,ground_witness_quotient,parent_ground_eigenvalue,reason,runtime_gate_reached,runtime_gate_success,runtime_reason,state_index
4,annual-sunspots,True,1.7332890545948323,-1.2110322215887226,True,True,1.7332890545948318,-1.2110322215887221,1.2212453270876722e-15,True,-1.2046101341403963,-1.2231915042599513,,True,True,,0
4,annual-sunspots,True,1.719408646854273,-1.213730893672948,True,True,1.7194086468542715,-1.2137308936729467,1.3322676295501878e-15,True,-1.2082715527086332,-1.2242426053189923,,True,True,,1
4,annual-sunspots,True,1.7070913339591118,-1.2165706886038858,True,True,1.7070913339591118,-1.2165706886038858,1.3322676295501878e-15,True,-1.2125182022240464,-1.2252063512158602,,True,True,,2
4,annual-sunspots,True,1.6922466034230879,-1.218596902534578,True,True,1.6922466034230887,-1.2185969025345789,8.881784197001252e-16,True,-1.215702227573073,-1.2268061682595022,,True,True,,3
4,annual-sunspots,True,1.6737199246030545,-1.2183698408087507,True,True,1.6737199246030534,-1.2183698408087498,8.881784197001252e-16,True,-1.2141719780832907,-1.226493843809502,,True,True,,4
4,annual-sunspots,True,1.6412970275291867,-1.211642003730316,True,True,1.6412970275291876,-1.2116420037303168,8.881784197001252e-16,True,-1.2066609959864278,-1.2235991680310208,,True,True,,5
4,annual-sunspots,True,1.6141738296087487,-1.2168626967121785,True,True,1.614173829608748,-1.2168626967121783,6.661338147750939e-16,True,-1.2078146122598388,-1.225086746503516,,True,True,,6
4,annual-sunspots,True,1.602797511390163,-1.214857608765128,True,True,1.602797511390164,-1.2148576087651288,8.881784197001252e-16,True,-1.2121998874476674,-1.2237658680891783,,True,True,,7
4,annual-sunspots,True,1.6268486949840084,-1.2142422197325389,True,True,1.6268486949840093,-1.2142422197325398,8.881784197001252e-16,True,-1.2128397292867725,-1.221757679702128,,True,True,,8
4,annual-sunspots,True,1.6443433491298947,-1.2124353086086321,True,True,1.6443433491298947,-1.2124353086086321,7.771561172376096e-16,True,-1.2084994791678805,-1.220047747248129,,True,True,,9
4,annual-sunspots,True,1.6559467164602022,-1.2091824862614384,True,True,1.655946716460202,-1.209182486261438,9.992007221626409e-16,True,-1.2042104567106535,-1.2193485586566761,,True,True,,10
4,annual-sunspots,True,1.6720983588251805,-1.2055097495431286,True,True,1.6720983588251803,-1.2055097495431277,8.881784197001252e-16,True,-1.1991961607735697,-1.2192988488994405,,True,True,,11
4,annual-sunspots,True,1.675974782794286,-1.2047310849936959,True,True,1.6759747827942861,-1.2047310849936963,4.440892098500626e-16,True,-1.196904192256885,-1.2204946747204528,,True,True,,12
