active_rank,active_rank_ratio,alpha,beta,carrier_id,exception,first_step_active_rank,first_step_alpha,first_step_beta,first_step_formation_eigenvalue,first_step_formation_gap,first_step_lambda_keep,first_step_lambda_up,first_step_persistence_rank,first_step_reason,first_step_success,first_step_terminal,formation_depth_normalized,formation_gap_normalized,gram_rebuild_residual,index,k_rms_ratio,load_log10_ratio,neutral_load_density_ratio,persistent_rank,processed,source_dimension,source_generation,source_name,successful_depth,successor_recursive_rho,successor_rho_mass,successor_y_log10_condition,terminal_reason_within_horizon,terminal_within_horizon,unitarity_residual
4.0,0.3333333333333333,0.025235507934669762,0.9747644920653302,annual-sunspots,,4,0.025235507934669762,0.9747644920653302,-1.2110322215887233,1.733289054594833,0.6973977937231679,0.018054809854463456,4,,True,False,0.9900593793949016,1.4170218224688362,0.0,0,0.8472935246978606,-1.5868876501316858,0.12299622517159663,4.0,True,12,0,sunspots_1712,3,1.0000000000000009,1.2110322215887235,0.31871331292096106,dual persistent load below admissibility threshold,True,4.445967112476811e-16
4.0,0.3333333333333333,0.024506577738331894,0.9754934222616681,annual-sunspots,,4,0.024506577738331894,0.9754934222616681,-1.2137308936729485,1.7194086468542735,0.7059525827688229,0.017735108668482262,4,,True,False,0.9914137021531745,1.4044672513306797,0.0,1,0.8534571516259746,-1.5999416775853275,0.12297624809985717,4.0,True,12,1,sunspots_1713,3,1.0000000000000002,1.2137308936729485,0.32376873728012373,dual persistent load below admissibility threshold,True,2.4519667134637073e-16
4.0,0.3333333333333333,0.02397244257023221,0.9760275574297678,annual-sunspots,,4,0.02397244257023221,0.9760275574297678,-1.216570688603886,1.707091333959112,0.7207562121323001,0.017702662973963175,4,,True,False,0.9929516667919616,1.3933092431858867,0.0,2,0.8502562361269734,-1.6097497929492322,0.12062601979442537,4.0,True,12,2,sunspots_1714,3,1.0000000000000009,1.2165706886038856,0.33042798707504656,dual persistent load below admissibility threshold,True,2.3469374397459303e-16
4.0,0.3333333333333333,0.021807096225122714,0.9781929037748773,annual-sunspots,,4,0.021807096225122714,0.9781929037748773,-1.2185969025345775,1.6922466034230874,0.737637939686052,0.01644434494255644,4,,True,False,0.9933084248047338,1.379391991339525,0.0,3,0.8434921943837579,-1.6518266680092408,0.11339226867633222,4.0,True,12,3,sunspots_1715,3,1.0000000000000009,1.2185969025345775,0.33874539331241255,dual persistent load below admissibility threshold,True,2.5058943516820945e-16
4.0,0.3333333333333333,0.01996871859171972,0.9800312814082803,annual-sunspots,,4,0.01996871859171972,0.9800312814082803,-1.218369840808751,1.673719924603055,0.8029804980589053,0.016361203876406948,4,,True,False,0.993376238256919,1.3646378520779738,0.0,4,0.8160498142976167,-1.6908897413176651,0.1001840569871431,4.0,True,12,4,sunspots_1716,3,1.0000000000000002,1.2183698408087513,0.2765822950916057,dual persistent load below admissibility threshold,True,4.445803406699941e-16
4.0,0.3333333333333333,0.010611013709374464,0.9893889862906255,annual-sunspots,,4,0.010611013709374464,0.9893889862906255,-1.2116420037303162,1.641297027529187,0.8896619051891461,0.009541459227338966,4,,True,False,0.9902278747705052,1.3413682114301473,0.0,5,0.7888798426810022,-1.9696101959220165,0.07164341358187074,4.0,True,12,5,sunspots_1717,3,1.0000000000000004,1.2116420037303157,0.3869914936163482,dual persistent load below admissibility threshold,True,3.1063137656447583e-16
4.0,0.3333333333333333,0.010404941847149424,0.9895950581528505,annual-sunspots,,4,0.010404941847149424,0.9895950581528505,-1.216862696712179,1.6141738296087491,0.8932738595360448,0.009392187729191013,4,,True,False,0.9932869653395497,1.3175996183255725,0.0,6,0.7999194855944147,-1.9782178605454828,0.07378392005717337,4.0,True,12,6,sunspots_1718,3,1.0000000000000007,1.21686269671218,0.37965613289900996,dual persistent load below admissibility threshold,True,1.2575699811246904e-16
4.0,0.3333333333333333,0.01579227524183828,0.9842077247581617,annual-sunspots,,4,0.01579227524183828,0.9842077247581617,-1.2148576087651282,1.6027975113901631,0.805557006729988,0.012925704252521765,4,,True,False,0.9927206179250929,1.3097256208761676,0.0,7,0.8169954368739093,-1.7946420646990657,0.09131848370645067,4.0,True,12,7,sunspots_1719,3,1.0000000000000002,1.2148576087651282,0.32889842262389674,dual persistent load below admissibility threshold,True,2.2205477888045956e-16
4.0,0.3333333333333333,0.033964996084874986,0.966035003915125,annual-sunspots,,4,0.033964996084874986,0.966035003915125,-1.2142422197325389,1.6268486949840084,0.6926683423399993,0.02435364913315495,4,,True,False,0.993848649290731,1.331564124385649,0.0,8,0.8464459309437917,-1.453961294331974,0.14213971101318643,4.0,True,12,8,sunspots_1720,3,1.0000000000000004,1.2142422197325384,0.2557389359839958,numerical successor admissibility boundary: reduced closure requires Y positive definite,True,2.2352864147641216e-16
4.0,0.3333333333333333,0.03167405141102868,0.9683259485889713,annual-sunspots,,4,0.03167405141102868,0.9683259485889713,-1.2124353086086324,1.6443433491298949,0.5058563989283267,0.01654662008139037,4,,True,False,0.993760540391417,1.3477696695385752,0.0,9,0.8637574739117696,-1.4853179526586715,0.1442025612255933,4.0,True,12,9,sunspots_1721,3,1.0000000000000009,1.2124353086086324,0.31166865178403713,dual persistent load below admissibility threshold,True,2.944071325785934e-16
4.0,0.3333333333333333,0.032462800289900846,0.9675371997100992,annual-sunspots,,4,0.032462800289900846,0.9675371997100992,-1.2091824862614384,1.6559467164602022,0.45831813124301124,0.015377486228168164,4,,True,False,0.9916627019213958,1.3580585343738918,0.0,10,0.8669006153502534,-1.474281691694027,0.14760885119970168,4.0,True,12,10,sunspots_1722,3,0.9999999999999998,1.2091824862614384,0.30854877948478154,dual persistent load below admissibility threshold,True,2.2313447166770734e-16
4.0,0.3333333333333333,0.029684792873506283,0.9703152071264938,annual-sunspots,,4,0.029684792873506283,0.9703152071264938,-1.2055097495431286,1.6720983588251805,0.4233787005981823,0.012952398294910857,4,,True,False,0.9886909600802481,1.3713605654056389,0.0,11,0.8475459094762476,-1.5143788148818502,0.13435010244760137,4.0,True,12,11,sunspots_1723,3,1.0000000000000002,1.2055097495431295,0.3114818756070449,dual persistent load below admissibility threshold,True,2.3183955885625855e-16
4.0,0.3333333333333333,0.019719720281596947,0.980280279718403,annual-sunspots,,4,0.019719720281596947,0.980280279718403,-1.2047310849936963,1.6759747827942864,0.3730854867244361,0.007505140714901207,4,,True,False,0.9870842617724925,1.373193031897627,0.0,12,0.8403431729196086,-1.6964495157211383,0.1068051429353626,4.0,True,12,12,sunspots_1724,3,1.000000000000001,1.2047310849936959,0.33708099995000834,dual persistent load below admissibility threshold,True,4.470664320179194e-16
4.0,0.3333333333333333,0.019893520982039854,0.9801064790179601,annual-sunspots,,4,0.019893520982039854,0.9801064790179601,-1.210452660180931,1.6935976144907643,0.42068982388468373,0.00853887002845458,4,,True,False,0.9885937905574744,1.383185101297774,0.0,13,0.8414072576565453,-1.6925616038049427,0.10589003855882932,4.0,True,12,13,sunspots_1725,3,1.0000000000000009,1.2104526601809313,0.31262395602502224,dual persistent load below admissibility threshold,True,4.975075284589631e-17
4.0,0.3333333333333333,0.022741948325815133,0.9772580516741848,annual-sunspots,,4,0.022741948325815133,0.9772580516741848,-1.2142029996950154,1.7243118720589043,0.42976196994596894,0.010001068291193002,4,,True,False,0.9882223163691172,1.4033925733809194,0.0,14,0.8519469314402219,-1.6331815888963026,0.11559838262081733,4.0,True,12,14,sunspots_1726,3,1.0000000000000007,1.2142029996950152,0.3038821061366602,dual persistent load below admissibility threshold,True,7.257924301962754e-17
4.0,0.3333333333333333,0.01721404543810207,0.9827859545618979,annual-sunspots,,4,0.01721404543810207,0.9827859545618979,-1.2152170341907995,1.6287016494225268,0.5042455958582994,0.008832143518918114,4,,True,False,0.9886248877353675,1.3250102162919006,0.0,15,0.8209891827468435,-1.7565759961611964,0.0915404039454896,4.0,True,12,15,sunspots_1727,3,1.0000000000000004,1.2152170341908008,0.3204048391354008,dual persistent load below admissibility threshold,True,2.708831137782577e-16
4.0,0.3333333333333333,0.007537762127986378,0.9924622378720136,annual-sunspots,,4,0.007537762127986378,0.9924622378720136,-1.2210573553734125,1.4838629913220909,0.5783752673638567,0.004392766817452947,4,,True,False,0.990681588863142,1.203903927550259,0.0,16,0.770450800028356,-2.1194715631739753,0.047756551340346565,4.0,True,12,16,sunspots_1728,3,1.0000000000000007,1.2210573553734119,0.28299835680134094,dual persistent load below admissibility threshold,True,2.77144934717646e-16
4.0,0.3333333333333333,0.007341041906395632,0.9926589580936044,annual-sunspots,,4,0.007341041906395632,0.9926589580936044,-1.2170482597801042,1.4952776261210985,0.7123276121256724,0.005267898716936977,4,,True,False,0.9873538028414658,1.213072726237804,0.0,17,0.79232836371584,-2.1310423629088198,0.04948525767453777,4.0,True,12,17,sunspots_1729,3,1.0000000000000004,1.217048259780104,0.2743579294396929,dual persistent load below admissibility threshold,True,2.4262506861828533e-16
4.0,0.3333333333333333,0.007528353144546249,0.9924716468554537,annual-sunspots,,4,0.007528353144546249,0.9924716468554537,-1.2246160909671222,1.5274213934892522,0.7073297003130152,0.005365420554284102,4,,True,False,0.9938666255253361,1.2396155475170263,0.0,18,0.8125587335611146,-2.1200181255482664,0.054563473613159115,4.0,True,12,18,sunspots_1730,3,1.0000000000000004,1.2246160909671224,0.36625408105856583,dual persistent load below admissibility threshold,True,2.371924169406706e-16
4.0,0.3333333333333333,0.004382206656205498,0.9956177933437945,annual-sunspots,,4,0.004382206656205498,0.9956177933437945,-1.2242393995987035,1.548711410458053,0.6497064479383997,0.002859679627835,4,,True,False,0.9940713014772593,1.257539634740856,0.0,19,0.8052715963579203,-2.3563997953926177,0.04388141865090884,4.0,True,12,19,sunspots_1731,3,1.0000000000000004,1.2242393995987033,0.5116084918233018,dual persistent load below admissibility threshold,True,8.862084295958251e-17
4.0,0.3333333333333333,0.0057553763634337896,0.9942446236365662,annual-sunspots,,4,0.0057553763634337896,0.9942446236365662,-1.2230286548190419,1.5721575572400381,0.6710325283775262,0.003884400942288576,4,,True,False,0.995338252552198,1.2794700676833792,0.0,20,0.8008402715503888,-2.2374195223507303,0.048576891787569715,4.0,True,12,20,sunspots_1732,3,1.0000000000000009,1.2230286548190417,0.48638936029582513,dual persistent load below admissibility threshold,True,1.1797237757194467e-16
