active_rank,carrier_id,eligible,exact_ground_gap,exact_lowest_eigenvalue,exact_negative,exact_simple,generalized_ground_gap,generalized_lowest_eigenvalue,generalized_match_residual,ground_witness_negative,ground_witness_quotient,parent_ground_eigenvalue,reason,runtime_gate_reached,runtime_gate_success,runtime_reason,state_index
4,annual-sunspots,True,1.7332890545948323,-1.2110322215887226,True,True,1.7332890545948318,-1.2110322215887221,1.2212453270876722e-15,True,-1.2046101341403963,-1.2231915042599513,,True,True,,0
4,annual-sunspots,True,1.719408646854273,-1.213730893672948,True,True,1.7194086468542715,-1.2137308936729467,1.3322676295501878e-15,True,-1.2082715527086332,-1.2242426053189923,,True,True,,1
4,annual-sunspots,True,1.7070913339591118,-1.2165706886038858,True,True,1.7070913339591118,-1.2165706886038858,1.3322676295501878e-15,True,-1.2125182022240464,-1.2252063512158602,,True,True,,2
4,annual-sunspots,True,1.6922466034230879,-1.218596902534578,True,True,1.6922466034230887,-1.2185969025345789,8.881784197001252e-16,True,-1.215702227573073,-1.2268061682595022,,True,True,,3
4,mauna-loa-co2,True,1.648427630876527,-1.2454521753214618,True,True,1.6484276308765262,-1.2454521753214605,1.3322676295501878e-15,True,-1.2444923343633487,-1.2467653602909377,,True,True,,0
4,mauna-loa-co2,True,1.645686634584761,-1.2422272133406846,True,True,1.6456866345847594,-1.242227213340684,8.326672684688674e-16,True,-1.2417407227320392,-1.2466714911951915,,True,True,,1
4,mauna-loa-co2,True,1.6321645597707573,-1.241443475649205,True,True,1.6321645597707573,-1.241443475649205,2.220446049250313e-16,True,-1.2411235287382094,-1.2465100339135542,,True,True,,2
4,mauna-loa-co2,True,1.6013026475915437,-1.2399149675272165,True,True,1.6013026475915444,-1.2399149675272167,4.996003610813204e-16,True,-1.2398045248504674,-1.2464393123441198,,True,True,,3
4,enso-pacific-sst,True,1.4662018598374165,-1.2300912241097588,True,True,1.466201859837417,-1.2300912241097595,6.661338147750939e-16,True,-1.2300832472697398,-1.2389585810799317,,True,True,,0
4,enso-pacific-sst,True,1.471991264150814,-1.2296887079101984,True,True,1.4719912641508142,-1.2296887079101984,3.3306690738754696e-16,True,-1.2296295890128024,-1.2383975190227663,,True,True,,1
4,enso-pacific-sst,True,1.478397153069691,-1.2310109165782568,True,True,1.4783971530696893,-1.2310109165782552,1.5543122344752192e-15,True,-1.2309004001672157,-1.2386434387926897,,True,True,,2
4,enso-pacific-sst,True,1.483802862884985,-1.230127241935608,True,True,1.4838028628849862,-1.2301272419356086,6.661338147750939e-16,True,-1.2298892902287366,-1.2380009776490413,,True,True,,3
4,zachary-karate-network,True,0.3058438144429313,-0.09047537717428926,True,True,0.30584381444293085,-0.09047537717428893,5.828670879282072e-16,True,-0.09016425316910064,-0.7276818146069856,,True,True,,0
