active_rank,alpha,beta,carrier_id,depth,depth_over_gap,depth_over_mean_abs_eigenvalue,depth_over_rms_norm,depth_over_spectral_norm,dual_load_min,formation_depth,formation_eigenvalue,formation_gap,gram_rebuild_residual,lambda_keep,lambda_up,log10_dual_margin,log10_y_margin,parent_k_mean_abs_eigenvalue,parent_k_rms_norm,parent_k_spectral_norm,parent_k_spectral_range,parent_lambda0,parent_y_density,parent_y_min,persistence_rank,reason,state_index,success,successor_y_density,successor_y_min,terminal,unitarity_residual,y_density_ratio
4,0.025235507934669762,0.9747644920653302,annual-sunspots,1,0.6986902838729397,1.2335529831656926,1.206706409067907,0.9900593793949007,0.018054809854463456,1.2110322215887233,-1.2110322215887233,1.733289054594833,0.0,0.6973977937231679,0.018054809854463456,8.256592918983165,7.928458220952892,0.9817431744851576,1.0035848094352608,1.2231915042599522,2.4231335569146175,-1.2231915042599522,0.3239936953542507,0.08481217893719466,4,,0,True,0.0398500015079691,0.02740194886047885,False,4.445967112476811e-16,0.12299622517159663
4,0.0007838652734200938,0.99921613472658,annual-sunspots,2,0.6982757873858916,1.4912182120380881,1.421139402216801,0.997858471739933,0.0009242594858963364,1.2084387618623387,-1.2084387618623387,1.730603844057553,0.0,1.1781807694480768,0.0009242594858963364,6.965793916536239,7.437781451479274,0.8103701739336544,0.8503309105196326,1.2110322215887226,2.0533844158404686,-1.2110322215887226,0.0398500015079691,0.02740194886047885,4,,0,True,0.002292264196850273,0.0014534001909944682,False,2.520940823428871e-16,0.05752231142053714
4,2.2228774645765846e-06,0.9999977771225353,annual-sunspots,3,0.6977752890311701,1.4897888488307285,1.4198957323447496,0.9974428435278511,2.6822418767483415e-06,1.2053485948612468,-1.2053485948612468,1.7274165677818996,0.0,1.20665036971088,2.6822418767483415e-06,4.428497938691048,6.1623852129288235,0.8090734440704623,0.8488993715551143,1.2084387618623387,2.0506953375969297,-1.2084387618623387,0.002292264196850273,0.0014534001909944682,4,,0,True,8.127731727607073e-06,4.322670612538365e-06,False,2.260992475231333e-16,0.0035457220589036505
0,nan,nan,annual-sunspots,4,nan,nan,nan,nan,2.407395957475674e-11,nan,nan,nan,nan,1.2053432593216047,2.407395957475674e-11,-0.618452473080099,3.635752143558841,0.8075283605699161,0.8471944513852455,1.2053485948612463,2.0474841513387165,-1.2053485948612463,8.127731727607073e-06,4.322670612538365e-06,4,dual persistent load below admissibility threshold,0,False,nan,nan,True,nan,nan
4,0.024506577738331894,0.9754934222616681,annual-sunspots,1,0.7059001918441654,1.2426323407560045,1.2155317575466886,0.9914137021531733,0.017735108668482262,1.2137308936729485,-1.2137308936729485,1.7194086468542735,0.0,0.7059525827688229,0.017735108668482262,8.248833853872389,7.931073022531072,0.9767417552761642,0.9985184559246936,1.2242426053189925,2.4242421658042517,-1.2242426053189925,0.32090530221111524,0.08532435668351503,4,,1,True,0.03946373006127375,0.026833884525817663,False,2.4519667134637073e-16,0.12297624809985717
4,0.0007486459757242823,0.9992513540242757,annual-sunspots,2,0.7056395196318308,1.493344588627712,1.4216313741605615,0.9981651698693603,0.0008852002471859772,1.2115039036587487,-1.2115039036587487,1.7168878300507515,0.0,1.181516463409103,0.0008852002471859772,6.947041526528934,7.428683546544946,0.8112688209303676,0.8521927172394547,1.213730893672948,2.0548192231933218,-1.213730893672948,0.03946373006127375,0.026833884525817663,4,,1,True,0.0022356105007280756,0.0013924328692446952,False,1.1455457135163768e-16,0.05664975148717399
4,2.030157607210005e-06,0.9999979698423929,annual-sunspots,3,0.7053072941320508,1.492110375439121,1.4205512682304955,0.9978021233581363,2.4560675413727394e-06,1.2088411675273707,-1.2088411675273707,1.713921261816762,0.0,1.2097891052625427,2.4560675413727394e-06,4.390240305645903,6.143774266524855,0.8101553259232679,0.8509662372363085,1.211503903658749,2.052546636462452,-1.211503903658749,0.0022356105007280756,0.0013924328692446952,4,,1,True,7.677399835258474e-06,3.957992813741859e-06,False,4.752642076664757e-16,0.003434140174577888
0,nan,nan,annual-sunspots,4,nan,nan,nan,nan,2.01070382599354e-11,nan,nan,nan,nan,1.2088362791185863,2.01070382599354e-11,-0.696651895693411,3.597475001352164,0.8088239578575785,0.849498181175168,1.2088411675273705,2.0498262692096576,-1.2088411675273705,7.677399835258474e-06,3.957992813741859e-06,4,dual persistent load below admissibility threshold,1,False,nan,nan,True,nan,nan
4,0.02397244257023221,0.9760275574297678,annual-sunspots,1,0.7126570584729037,1.2369444557369598,1.2091721857589393,0.9929516667919625,0.017702662973963175,1.216570688603886,-1.216570688603886,1.707091333959112,0.0,0.7207562121323001,0.017702662973963175,8.248038601271821,7.935858746437945,0.983528955533468,1.0061186511996247,1.2252063512158593,2.425152534026193,-1.2252063512158593,0.3269230786706345,0.0862697911062186,4,,2,True,0.039435429758978444,0.0264720169587292,False,2.3469374397459303e-16,0.12062601979442537
4,0.0007244477792429856,0.999275552220757,annual-sunspots,2,0.7125480719952357,1.4932383335828916,1.420135570454309,0.9985998182439478,0.0008589227418160952,1.2148672685207549,-1.2148672685207549,1.704961835233031,0.0,1.1847651711212774,0.0008589227418160952,6.933954101768488,7.42278703237332,0.8135789453019129,0.8554586574661406,1.2165706886038858,2.0595787678806072,-1.2165706886038858,0.039435429758978444,0.0264720169587292,4,,2,True,0.0022169134500794187,0.0013521708543076222,False,2.782452079117168e-16,0.05621628732408283
4,1.9004713872046492e-06,0.9999980995286127,annual-sunspots,3,0.7123883464215948,1.492314685101067,1.4193140382109424,0.9983352252443091,2.3056590005322024e-06,1.212844788160606,-1.212844788160606,1.7025050932582757,0.0,1.2132014373994688,2.3056590005322024e-06,4.362795076966494,6.131031570595967,0.8127272352603473,0.8545288466880855,1.2148672685207544,2.057865131009841,-1.2148672685207544,0.0022169134500794187,0.0013521708543076222,4,,2,True,7.494622892753628e-06,3.7187703067677387e-06,False,2.8402324244032325e-16,0.00338065651254231
0,nan,nan,annual-sunspots,4,nan,nan,nan,nan,1.7624078447056636e-11,nan,nan,nan,nan,1.2128401951536592,1.7624078447056636e-11,-0.7538935827519782,3.570399354593457,0.8117159950802729,0.8534208683508246,1.2128447881606061,2.0558297172318496,-1.2128447881606061,7.494622892753628e-06,3.7187703067677387e-06,4,dual persistent load below admissibility threshold,2,False,nan,nan,True,nan,nan
4,0.021807096225122714,0.9781929037748773,annual-sunspots,1,0.7201059822307173,1.2369120380203347,1.207469099641087,0.9933084248047338,0.01644434494255644,1.2185969025345775,-1.2185969025345775,1.6922466034230874,0.0,0.737637939686052,0.01644434494255644,8.216016578122762,7.938581659697674,0.9851928553342643,1.0092158075902713,1.2268061682595024,2.4268002901854144,-1.2268061682595024,0.32958380508194846,0.08681237938774107,4,,3,True,0.037372255377220207,0.024703774522999513,False,2.5058943516820945e-16,0.11339226867633222
4,0.0006278598501929427,0.999372140149807,annual-sunspots,2,0.7201027791208451,1.5076572749494597,1.4300208382660509,0.9989584124695784,0.000746909762691738,1.2173276271962876,-1.2173276271962876,1.6904914999529532,0.0,1.1888653300742895,0.000746909762691738,6.87326813604261,7.39276331476866,0.807429942748159,0.8512656561510943,1.218596902534578,2.048072883964532,-1.218596902534578,0.037372255377220207,0.024703774522999513,4,,3,True,0.0019847317417236126,0.0011787925192266035,False,2.317010446461199e-16,0.053107090318487475
4,1.4358302017535962e-06,0.9999985641697983,annual-sunspots,3,0.7200673704898105,1.506994597858239,1.429422779604323,0.9987748073472548,1.7457929151674812e-06,1.2158361663314636,-1.2158361663314636,1.6885033486580803,0.0,1.2158752520828253,1.7457929151674812e-06,4.241992726692631,6.0714373710963505,0.8067953050790138,0.8505784178618014,1.2173276271962883,2.046731184452442,-1.2173276271962883,0.0019847317417236126,0.0011787925192266035,4,,3,True,5.96570739300611e-06,2.818730695889374e-06,False,1.1493877930162987e-16,0.003005800364650426
0,nan,nan,annual-sunspots,4,nan,nan,nan,nan,1.0075644729136339e-11,nan,nan,nan,nan,1.2158326858935709,1.0075644729136339e-11,-0.9967271542838726,3.4500535849613065,0.8060495746466013,0.8497656936266519,1.2158361663314639,2.0451474437865436,-1.2158361663314639,5.96570739300611e-06,2.818730695889374e-06,4,dual persistent load below admissibility threshold,3,False,nan,nan,True,nan,nan
4,0.01996871859171972,0.9800312814082803,annual-sunspots,1,0.72794128987722,1.244801015265886,1.210999722626778,0.9933762382569181,0.016361203876406948,1.218369840808751,-1.218369840808751,1.673719924603055,0.0,0.8029804980589053,0.016361203876406948,8.213815256404038,7.936379359884646,0.9787667473491825,1.006085978422841,1.2264938438095019,2.42648461800142,-1.2264938438095019,0.32762466984811484,0.08637326961201536,4,,4,True,0.03282276859445748,0.0231146651252161,False,4.445803406699941e-16,0.1001840569871431
4,0.0005533391533575802,0.9994466608466425,annual-sunspots,2,0.7278186861047911,1.5752636854015956,1.4818161087976374,0.9985433834655039,0.000659088654509307,1.2165951431534971,-1.2165951431534971,1.6715634901661927,0.0,1.1904524575103599,0.000659088654509307,6.818943835799767,7.363887605958212,0.7723120607857725,0.8210162758593955,1.2183698408087507,1.9624790327924273,-1.2183698408087507,0.03282276859445748,0.0231146651252161,4,,4,True,0.0015842313483397216,0.001038755298893631,False,2.3016150056676294e-16,0.04826623152707594
4,1.125079053852251e-06,0.9999988749209461,annual-sunspots,3,0.727636143641794,1.5742817775566258,1.4810064891486179,0.9982284358333602,1.3673239226707925e-06,1.2144398667925784,-1.2144398667925784,1.6690208113004785,0.0,1.2153122748500198,1.3673239226707925e-06,4.135871412273526,6.016513252218781,0.7714247119581462,0.8200098214901949,1.2165951431534971,1.9602352523971436,-1.2165951431534971,0.0015842313483397216,0.001038755298893631,4,,4,True,3.861604195145017e-06,2.1995185145253213e-06,False,2.2898421473315084e-16,0.0024375254278309715
0,nan,nan,annual-sunspots,4,nan,nan,nan,nan,6.2158338182608016e-12,nan,nan,nan,nan,1.2144371433747092,6.2158338182608016e-12,-1.2065006050142661,3.342327622017515,0.7703470737776865,0.8187821539992234,1.2144398667925789,1.9574874324500584,-1.2144398667925789,3.861604195145017e-06,2.1995185145253213e-06,4,dual persistent load below admissibility threshold,4,False,nan,nan,True,nan,nan
