active_rank,active_runtime_radius,active_threshold,carrier_id,exact_rank_nonopen,formation_eligible,formation_operator_margin,formation_sign_clearance,formation_simplicity_clearance,persistent_rank,persistent_runtime_radius,persistent_threshold,state_index
4,2.389164060411037e-10,2.389171812007185e-10,annual-sunspots,True,True,0.8666445222974162,1.2110322214887226,1.7332890445948324,4,9.999999717180685e-09,0.99999999,0
4,2.378074548757848e-10,2.3780782557836366e-10,annual-sunspots,True,True,0.8597043184271366,1.213730893572948,1.7194086368542731,4,1.0000000272292198e-08,0.99999999,1
4,2.38015889018433e-10,2.380167439168384e-10,annual-sunspots,True,True,0.853545661979556,1.2165706885038858,1.707091323959112,4,9.999999606158383e-09,0.99999999,2
4,2.321415716659649e-10,2.3214233797705647e-10,annual-sunspots,True,True,0.846123296711544,1.218596902434578,1.692246593423088,4,1.0000000050247593e-08,0.99999999,3
4,2.0904208138119007e-10,2.0904267324362293e-10,annual-sunspots,True,True,0.8368599573015273,1.2183698407087507,1.6737199146030546,4,9.99999949513608e-09,0.99999999,4
4,1.919607459419314e-10,1.9196108157273593e-10,annual-sunspots,True,True,0.8206485087645934,1.211642003630316,1.6412970175291868,4,9.999999828202988e-09,0.99999999,5
4,1.8895966264928468e-10,1.8896033895920478e-10,annual-sunspots,True,True,0.8070869098043744,1.2168626966121785,1.6141738196087487,4,9.99999949513608e-09,0.99999999,6
4,2.019648551404913e-10,2.0196549032712237e-10,annual-sunspots,True,True,0.8013987506950815,1.214857608665128,1.602797501390163,4,1.0000000272292198e-08,0.99999999,7
4,2.489938279777872e-10,2.489952406378125e-10,annual-sunspots,True,True,0.8134243424920042,1.2142422196325389,1.6268486849840085,4,1.0000000272292198e-08,0.99999999,8
4,2.573545097566137e-10,2.5735520724421035e-10,annual-sunspots,True,True,0.8221716695649474,1.2124353085086321,1.6443433391298947,4,9.999999606158383e-09,0.99999999,9
4,2.5857829719477533e-10,2.585787823930003e-10,annual-sunspots,True,True,0.8279733532301011,1.2091824861614384,1.6559467064602023,4,9.999998717979963e-09,0.99999999,10
4,2.4927358231656664e-10,2.492745365180877e-10,annual-sunspots,True,True,0.8360491744125903,1.2055097494431286,1.6720983488251806,4,9.99999905104687e-09,0.99999999,11
4,2.1684724766140307e-10,2.1684774540493902e-10,annual-sunspots,True,True,0.837987386397143,1.2047310848936958,1.675974772794286,4,9.999999384113778e-09,0.99999999,12
4,2.1066751623836576e-10,2.1066792763022214e-10,annual-sunspots,True,True,0.8467988022453823,1.210452660080931,1.6935976044907646,4,9.999999384113778e-09,0.99999999,13
4,2.188189501345618e-10,2.188193858403472e-10,annual-sunspots,True,True,0.8621559310294524,1.2142029995950159,1.7243118620589049,4,9.99999993922529e-09,0.99999999,14
4,1.96593500425679e-10,1.9659416998806454e-10,annual-sunspots,True,True,0.8143508197112633,1.2152170340907993,1.6287016394225267,4,9.999999162069173e-09,0.99999999,15
4,1.3444560967146578e-10,1.3444645168585555e-10,annual-sunspots,True,True,0.7419314906610457,1.221057355273413,1.4838629813220914,4,9.999999384113778e-09,0.99999999,16
4,1.300113693181524e-10,1.3001238490546212e-10,annual-sunspots,True,True,0.7476388080605493,1.2170482596801042,1.4952776161210986,4,9.999999828202988e-09,0.99999999,17
4,1.454702464130884e-10,1.4547095427110062e-10,annual-sunspots,True,True,0.7637106917446264,1.2246160908671224,1.5274213834892527,4,9.99999949513608e-09,0.99999999,18
